SEQ_AREA;Área;VAL_NACIONAL;DSC_FASE;tem correspondente?
4333;GAIVOTA;354.594.121.175;Produção;Sim
4503;GALO DE CAMPINA;6.484.585.294.437.990;Desenvolvimento;Sim
4503;GALO DE CAMPINA;5.488.342.888.000.000;Produção;Sim
4334;GARÇA BRANCA (LICITADO);5.921.219.500.000.000;Desenvolvimento;Sim
4334;GARÇA BRANCA (LICITADO);290050;Produção;Sim
4435;GAVIÃO AZUL;19.772.950.802.780.000;Desenvolvimento;Sim
4436;GAVIÃO BRANCO;13.119.020.588.497.100;Desenvolvimento;Sim
4437;GAVIÃO BRANCO NORTE;1.096.280.767.199.990;Desenvolvimento;Sim
4438;GAVIÃO BRANCO OESTE;16.440.476.534.999.900;Desenvolvimento;Sim
4439;GAVIÃO BRANCO SUDESTE;20.685.456.627.480.000;Desenvolvimento;Sim
4441;GAVIÃO CABOCLO;38.255.925.707.480.000;Desenvolvimento;Sim
4451;GAVIÃO CARIJÓ;0;Desenvolvimento;Sim
4443;GAVIÃO PRETO;12.968.576.461.379.900;Desenvolvimento;Sim
4444;GAVIÃO REAL;12.377.762.371.057.600;Desenvolvimento;Sim
4450;GAVIÃO TESOURA;8.054.729.803.000.000;Desenvolvimento;Sim
4445;GAVIÃO VERMELHO;13.146.540.344.250.000;Desenvolvimento;Sim
2161;GMR;15.386.552.125.000.000;Desenvolvimento;Não
2161;GMR;10.405.463.546.178.200;Produção;Não
2519;GO;21.034.507.700.000.000;Desenvolvimento;Não
2519;GO;8.459.617.071.740.700;Produção;Não
413896;GOIÁ;42.378.691.000.000.000;Desenvolvimento;Sim
413895;GOIÁ SUL;1268483.5;Desenvolvimento;Sim
4335;GOLFINHO;32.231.626.617.699.900;Desenvolvimento;Sim
4335;GOLFINHO;6.165.978.899.493.140;Produção;Sim
1256;GP;12.110.042.267.200.000;Desenvolvimento;Não
1256;GP;12.141.450.834.480.000;Produção;Não
1257;GPN;26.972.828.660.000.000;Desenvolvimento;Não
1257;GPN;16.823.604.084.999.900;Produção;Não
4504;GRAÚNA;0;Desenvolvimento;Sim
4504;GRAÚNA;10.133.182.199.999.900;Produção;Sim
1492;GU;13.588.613.160.000.000;Desenvolvimento;Não
1492;GU;86.764.456.277.739;Produção;Não
3951;GUAIAMÁ;11.581.650.597.299.900;Desenvolvimento;Sim
4505;GUAIUBA;6005179.66;Desenvolvimento;Sim
4506;GUAJÁ;26.146.573.700.000.000;Desenvolvimento;Sim
4508;GUAMARÉ SUDESTE;32.086.381.509.999.900;Desenvolvimento;Sim
4508;GUAMARÉ SUDESTE;14.152.163.151.284.900;Produção;Sim
3850;GUANAMBI;11.218.621.567.999.900;Desenvolvimento;Sim
3850;GUANAMBI;393.077.648.110.352;Produção;Sim
4049;GUARÁ;5.711.527.825;Desenvolvimento;Sim
3851;GURIATÃ;8.635.888.926.600.000;Desenvolvimento;Sim
3851;GURIATÃ;6.680.584.700.000.000;Produção;Sim
282614;GURIATÃ SUL;0;Desenvolvimento;Sim
4336;GURIRI;100693100;Desenvolvimento;Sim
4050;HARPIA;8.373.115.900.000.000;Desenvolvimento;Sim
4050;HARPIA;13.463.691.625;Produção;Sim
2520;I;11650900.73;Desenvolvimento;Não
2520;I;12.869.593.108.430.900;Produção;Não
2855;IARA_ENT;6559720.76;Desenvolvimento;Não
2521;IB;4.356.839.800.000.000;Desenvolvimento;Não
2521;IB;2.439.611.966.004.300;Produção;Não
2162;IC;5.534.889.819.999.990;Desenvolvimento;Não
2162;IC;75.600.355.290.887;Produção;Não
1782;ICA;289679.91;Desenvolvimento;Não
1782;ICA;19.871.699.999.999.900;Produção;Não
4337;INHAMBU;5.712.847.641.400.010;Desenvolvimento;Sim
4337;INHAMBU;7.435.673.667.274.930;Produção;Sim
3491;IP;24.813.885.720.000.000;Desenvolvimento;Não
3491;IP;2.522.227.270.422.880;Produção;Não
3708;IP;12.646.666.300.000.000;Desenvolvimento;Não
3767;IR;17.226.544.900.000.000;Desenvolvimento;Não
3767;IR;48.593.020.000.000.000;Produção;Não
251948;IRAÚNA;1455;Desenvolvimento;Sim
4511;IRERÊ;3948000;Desenvolvimento;Sim
4511;IRERÊ;29.432.676.194.598;Produção;Sim
3952;ITAPU;13.793.228.067.611.700;Desenvolvimento;Sim
776;JA;16.697.417.331.062;Produção;Não
2522;JA;5.046.835.468.999.990;Desenvolvimento;Não
2522;JA;9.844.552.647.625.350;Produção;Não
4513;JAÇANÃ;15.178.351.008.000.000;Desenvolvimento;Sim
4513;JAÇANÃ;6.855.892.130.836.530;Produção;Sim
4338;JACUPEMBA;5.689.993.163.999.990;Desenvolvimento;Sim
4338;JACUPEMBA;45990498;Produção;Sim
4339;JACUTINGA;7.858.194.769.999.990;Desenvolvimento;Sim
4339;JACUTINGA;5.032.827.498.443.330;Produção;Sim
